Link, Anchor Text
"https://gist.github.com/bgoonz?page=10#start-of-content", Skip to content
"https://gist.github.com/", 
  
    

  
    

  
    


"https://gist.github.com/discover", All gists
"https://github.com/", 
"https://gist.github.com/auth/github?return_to=https%3A%2F%2Fgist.github.com%2Fbgoonz%3Fpage%3D10", Sign in
"https://gist.github.com/join?return_to=https%3A%2F%2Fgist.github.com%2Fbgoonz%3Fpage%3D10&source=header-gist", Sign up
"https://avatars.githubusercontent.com/u/66654881?v=4", 
"https://github.com/bgoonz?tab=followers",  170 followers 
"https://github.com/bgoonz?tab=following", 512 following 
"https://github.com/bgoonz?tab=stars",  786
"https://bgoonz-blog.netlify.app/", https://bgoonz-blog.netlify.app/
"https://twitter.com/bgooonz", @bgooonz
"https://github.com/bgoonz", View GitHub Profile
"https://gist.github.com/bgoonz?direction=desc&sort=created", 
            
    

            Recently created
          
"https://gist.github.com/bgoonz?direction=asc&sort=created", 
            
    

            Least recently created
          
"https://gist.github.com/bgoonz?direction=desc&sort=updated", 
            
    

            Recently updated
          
"https://gist.github.com/bgoonz?direction=asc&sort=updated", 
            
    

            Least recently updated
          
"https://gist.github.com/bgoonz", bgoonz
"https://gist.github.com/bgoonz/forked",  Forked 3
"https://gist.github.com/bgoonz/starred",  Starred 34
"https://gist.github.com/bgoonz/b5075e30e34832475a3fa90210f26a64", 
"https://gist.github.com/bgoonz/b5075e30e34832475a3fa90210f26a64/forks",  0 forks
"https://gist.github.com/bgoonz/b5075e30e34832475a3fa90210f26a64#comments",  0 comments
"https://gist.github.com/bgoonz/b5075e30e34832475a3fa90210f26a64/stargazers",  0 stars
"https://gist.github.com/bgoonz?page=10#grab-front-end-guide", 
"https://gist.github.com/bgoonz/0459f441e0399fed8507ee3e06f07197", 
"https://gist.github.com/bgoonz/0459f441e0399fed8507ee3e06f07197/forks",  0 forks
"https://gist.github.com/bgoonz/0459f441e0399fed8507ee3e06f07197#comments",  0 comments
